"Date","Price","Open","High","Low","Vol.","Change %"
"09/02/2022","312.92","316.46","316.74","312.18","133.78M","-0.67%"
"09/01/2022","315.02","318.74","318.76","315.02","183.42M","-2.46%"
"08/31/2022","322.96","316.96","323.37","316.26","228.42M","1.09%"
"08/30/2022","319.49","317.97","320.00","316.94","133.48M","0.99%"
"08/29/2022","316.35","317.45","317.47","315.48","203.73M","-2.33%"
"08/26/2022","323.91","325.36","326.59","323.30","188.82M","0.09%"
"08/25/2022","323.63","321.58","323.63","320.81","130.66M","1.18%"
"08/24/2022","319.86","320.15","320.99","318.16","156.50M","0.37%"
"08/23/2022","318.69","320.85","321.50","318.26","118.04M","-1.26%"
"08/22/2022","322.77","323.29","324.42","321.83","93.52M","-1.23%"
"08/19/2022","326.79","329.06","329.08","326.34","125.26M","-0.61%"
"08/18/2022","328.80","327.47","329.94","326.06","101.50M","-0.34%"
"08/17/2022","329.91","332.11","333.24","329.30","105.79M","-0.56%"
"08/16/2022","331.78","332.68","333.47","331.08","131.43M","0.34%"
"08/12/2022","330.67","329.23","331.12","329.07","138.07M","0.23%"
"08/11/2022","329.92","328.20","329.92","327.74","140.04M","1.72%"
"08/10/2022","324.35","326.30","326.43","323.86","134.97M","-1.15%"
"08/09/2022","328.11","327.21","328.62","325.28","121.62M","0.27%"
"08/08/2022","327.23","326.05","327.45","325.21","113.67M","-0.08%"
"08/05/2022","327.50","326.71","328.47","326.36","119.89M","0.62%"
"08/04/2022","325.47","326.11","326.40","324.38","110.17M","0.52%"
"08/03/2022","323.80","321.48","323.80","320.25","93.90M","0.67%"
"08/02/2022","321.64","322.64","322.85","320.21","113.13M","-0.41%"
"08/01/2022","322.97","322.14","324.31","320.86","111.15M","-0.11%"
"07/29/2022","323.31","324.38","325.83","321.95","163.69M","0.53%"
"07/28/2022","321.62","322.89","323.73","320.76","131.10M","0.59%"
"07/27/2022","319.74","319.83","320.04","317.30","88.69M","0.04%"
"07/26/2022","319.61","317.39","319.91","317.03","87.53M","0.40%"
"07/25/2022","318.34","316.40","320.07","316.20","94.02M","0.32%"
"07/22/2022","317.33","319.12","320.94","317.00","120.59M","-0.74%"
"07/21/2022","319.68","316.22","320.14","316.22","91.22M","1.16%"
"07/20/2022","316.02","319.15","319.68","315.48","113.81M","0.68%"
"07/19/2022","313.90","313.38","314.06","311.81","95.26M","-0.31%"
"07/18/2022","314.87","311.06","315.17","310.60","113.85M","2.26%"
"07/15/2022","307.91","307.45","308.14","302.10","125.25M","0.84%"
"07/14/2022","305.35","304.70","307.93","303.65","115.97M","-0.40%"
"07/13/2022","306.59","306.24","308.62","304.99","110.89M","0.51%"
"07/12/2022","305.03","306.94","307.56","303.32","107.07M","-1.06%"
"07/11/2022","308.29","311.05","311.86","307.97","94.92M","-0.60%"
"07/08/2022","310.15","310.73","313.01","310.02","108.52M","0.60%"
"07/07/2022","308.31","304.30","310.07","304.20","126.31M","1.99%"
"07/06/2022","302.28","307.14","307.90","302.06","156.26M","-2.18%"
"07/05/2022","309.03","307.15","309.99","305.35","110.06M","1.65%"
"07/04/2022","304.01","304.46","305.82","300.82","128.36M","0.00%"
"07/01/2022","304.02","308.72","310.55","301.95","136.34M","-1.04%"
"06/30/2022","307.20","311.20","311.63","307.20","143.73M","-1.81%"
"06/29/2022","312.86","314.33","315.16","312.52","132.70M","-1.96%"
"06/28/2022","319.11","316.65","319.11","315.19","117.27M","0.92%"
"06/27/2022","316.20","314.31","319.08","311.85","136.48M","1.32%"
"06/24/2022","312.07","307.47","313.42","306.27","137.83M","2.17%"
"06/23/2022","305.45","308.81","310.94","304.13","197.73M","-0.85%"
